name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa-miR-877-3p	0.0	0.2027004976499918	0.27190330683363706	0.5532633853500504	0.0	0.15122605770151212	0.5675650211947697	0.35264198049378515	0.6531612209971924	0.0	1.322570631412224	0.14976405795898998	0.2536681363775708	0.1738612580206545	0.0	0.0	0.0	0.6092024400492837	0.0	0.682061429726256	0.5939644304400832	0.0	0.0	0.4749203469530594	0.35774943408511395	0.3204366654527458	0.2923979600563919	0.0	0.38606021496990955	0.0	0.29651272862428624	0.45569089575159377	0.0	1.5355655209492407	0.2856166456238603	0.0	0.2209152385785165
hsa-let-7f-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5668159848909532	0.5990562318359599	0.2536681363775708	0.115907505347103	0.0	0.0	0.0	0.07167087529991574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6408733309054916	0.0	0.0	0.2895451612274321	0.0	0.0	0.0	0.0	0.0	0.0	0.6057318588608425	0.0
hsa-let-7b-5p	116.51096615168156	312.00674100774984	610.3413528494651	141.39199076005886	152.2880379082622	62.04805147493042	307.79997041094356	162.3034715222646	309.3511505761488	224.41798813605462	350.4434295919133	244.8604906614996	573.6704904178764	1062.164788250317	508.6322608449982	172.32705581646778	164.07379883708182	411.56820963788357	344.98799130342775	559.6109412475013	468.8606722786406	554.5223892225508	1843.9370555593298	1675.150920781505	1427.0714363013717	261.2520133436237	625.5269559486392	238.076900203662	77.70426976806854	92.42791242282428	389.9846599139846	447.3403600869458	228.88030399436485	227.75315861029023	150.4699893307902	119.50080022226321	57.79142641213992
hsa-let-7g-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18661749171348355	0.0	0.0	0.22464608693848495	0.5073362727551416	0.347722516041309	0.37659447275305097	0.0	0.0	0.3941898141495365	0.0	0.0	0.0	0.0	0.29031806666747956	0.2374601734765297	0.0	0.0	0.2923979600563919	0.0	0.0	0.0	0.22238454646821465	0.0	0.0	0.3838913802373102	0.0	0.0	0.0
hsa-miR-6807-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.18918834039825658	0.0	0.0	0.0	0.0	0.0	0.0	0.115907505347103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-33a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21773855000060968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-126-3p	10.742931289651246	25.742963201548957	121.94863311488622	39.28170035985357	37.019787306729064	75.91548096615908	98.75631368788994	251.34557159694535	187.55057917205096	144.9475808234633	273.5831820407001	218.9550527360433	165.39162491817618	53.839036233729345	204.86739317765972	276.53571060303534	69.6149769661445	133.34366349549322	337.4014498280051	54.70132666404573	60.28738968966844	52.0070227414157	411.45327998448545	418.9984760993367	225.56101819066433	129.9370678410884	248.6844650279613	19.011054684567604	120.64381717809673	22.761237784922436	48.10919021929044	240.60479295684152	173.35503983776292	257.0152790688792	142.9511311347421	145.1737355069819	42.857556284232196
hsa-miR-581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07167087529991574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-2355-5p	0.16612780344821515	0.0	0.0	0.3319580312100302	0.0	0.15122605770151212	0.0	0.17632099024689257	0.46654372928370885	0.2119116678705604	0.37787732326063544	0.14976405795898998	0.0	0.0	0.1506377891012204	0.0	0.0	0.28668350119966296	0.0	0.0	0.0	0.7970424941213134	0.43547710000121936	0.7123805204295891	0.35774943408511395	1.2817466618109832	0.8771938801691757	0.0	0.19303010748495478	0.0	0.0	0.9113817915031875	0.3228213032360576	0.0	0.4284249684357905	0.7066871686709828	0.3313728578677747
hsa-miR-323a-3p	0.16612780344821515	1.013502488249959	0.27190330683363706	0.0	0.30721815192306273	0.30245211540302425	1.7026950635843092	0.7052839609875703	1.0263962044241595	0.8476466714822416	0.0	0.22464608693848495	0.634170340943927	1.4488438168387874	1.9582912583158651	0.0	1.7403744241536123	1.7917718824978934	0.0	3.41030714863128	1.6334021837102286	1.9926062353032836	1.4515903333373978	1.8996813878122376	0.35774943408511395	1.7624016599901018	1.0233928601973716	3.4122405844095702	0.5790903224548642	2.3049354718908797	1.482563643121431	0.0	0.0	0.5758370703559652	0.5712332912477206	1.211463717721685	0.883660954314066
