name	mean Cancer	noSamples_Cancer	stddev Cancer	mean Normal	noSamples_Normal	stddev Normal	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-5188	0.010949023572271305	142.0	0.09240631763867455	0.0	50.0	0.0	0.0	-Infinity	-0.8364106052853405	0.4039746421480589	1.0
hsa-miR-1273h-3p	0.5683219089068142	142.0	0.7855054233155637	0.6770425678948624	50.0	0.8633078197568484	1.1913011926588857	0.25253821103613855	0.8199736756904379	0.4132585698459206	1.0
hsa-miR-10399-3p	0.32708676247928564	142.0	0.6800913336115618	0.3362146947665245	50.0	0.48357073630536934	1.0279067615517363	0.03970940777355863	0.08737826268315034	0.9304628679543626	1.0
hsa-miR-432-3p	1.3039224508024498	142.0	1.0267856985817585	1.263957258692174	50.0	0.8495650962313477	0.9693500237796497	-0.044910390662242956	-0.24694688788373406	0.8052159500686368	1.0
hsa-miR-6790-3p	0.006882900606289938	142.0	0.08201922669326644	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988692	0.5542993355504223	1.0
hsa-miR-135b-3p	0.921852151357601	142.0	0.8435426782386573	1.091832931513881	50.0	0.9225766104719657	1.1843905011296565	0.24414482518898611	1.1955142348676657	0.23337615585429128	1.0
hsa-miR-423-5p	10978.376045961484	142.0	4303.733697274922	9398.396206961053	50.0	2812.6585886470025	0.8560825542515786	-0.22417816874390445	-2.418242162753189	0.016539356516769493	1.0
hsa-miR-374b-5p	15.04514297032677	142.0	8.11091590911173	17.02349032094124	50.0	7.03343476823158	1.131494087794069	0.1782290463525196	1.5330837034294058	0.12691863252560465	1.0
hsa-miR-1228-5p	0.15025155691611713	142.0	0.363699045024941	0.1595977486804324	50.0	0.35037507238009713	1.0622036267453328	0.08706036043169584	0.1577382123634666	0.874830598548036	1.0
hsa-miR-377-5p	79.08660370785013	142.0	24.05361236219105	74.16018963921158	50.0	23.875747835183407	0.9377086151424966	-0.09278840753774963	-1.2478312992497247	0.21362851454867793	1.0
hsa-miR-4433a-5p	0.008173864595634924	142.0	0.06877112259534834	0.0	50.0	0.0	0.0	-Infinity	-0.8390099854607245	0.4025180645201878	1.0
hsa-miR-3120-5p	0.26798386396272206	142.0	0.4919221406545501	0.4041890727315238	50.0	0.4950312535190248	1.508258992741998	0.5928841842179648	1.6809969909190363	0.09440661202781153	1.0
