name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-miR-223-3p	1044.851509920582	504.6159729935232	1657.5448406125777	945.0970237535716	1510.7999400745573	14738.610652270845	20401.519939625658
hsa-miR-142-5p	1241.118797928665	2896.845482961535	3585.3745167848815	654.7839689552367	3439.1277428838853	8239.522513222006	20056.77302273621
hsa-miR-584-5p	3633.090607537379	2191.808223646836	338.51073744757116	4289.849263343094	6094.361803532942	3127.761560313342	19675.382195821163
hsa-miR-128-3p	4667.642376396312	3911.259621225793	978.1802539354285	3571.8814680285404	4644.601726921581	1724.3800157119838	19497.94546221964
hsa-miR-93-5p	2815.6917127282054	1931.7917261377213	522.2382671778694	5006.708570475906	2258.221670696522	6679.588799095847	19214.240746312073
hsa-miR-146b-5p	2026.7601577977553	1108.859592516448	949.2359319224033	2202.4551683039776	5615.730757974535	6961.1166099013535	18864.158218416473
hsa-miR-381-3p	3508.0631952056997	1925.5730954050669	422.58710139016824	823.1633237619075	4703.995287013364	3965.7813323645137	15349.163335140718
hsa-miR-1-3p	2407.230685255601	1196.179532387471	261.8771991654663	377.10767942876504	5782.957188893936	4221.409294160818	14246.761579292059
hsa-miR-361-3p	2684.370014192185	1684.8602641285672	1426.1280946132	2084.955421039283	4505.805688839291	1787.7104684262658	14173.829951238793
hsa-miR-186-5p	1333.1012076875552	1917.1520329545972	2412.4403247332402	1608.970595799096	2166.155320618215	4562.364840706616	14000.184322499319
hsa-miR-652-3p	2005.8745717560787	1122.203737630269	674.1270426938398	3469.0137647628458	1685.9412910488331	4757.94417997131	13715.104587863178
hsa-miR-99a-5p	3057.5925757177597	2509.5413876433995	1621.777928410768	1317.9924480917155	3348.3910993747972	1817.424336296412	13672.719775534852
hsa-miR-28-3p	2119.6008793117826	1245.669468634846	1086.5147163270374	2019.2220718619587	4702.0957062001935	2418.974938969046	13592.077781304864
hsa-miR-22-3p	2085.5545130246664	3438.1254663163336	1167.28315775386	1477.7255950807955	1920.729479556648	3475.280767224486	13564.698978956789
hsa-miR-16-2-3p	1887.713653465498	5715.828526957959	2178.5426368470316	1388.824842905055	1004.7516114460634	841.3016022338443	13016.962873855453
hsa-miR-629-5p	2263.9403061340536	3117.088654743047	1427.919885975911	3658.343546204448	1143.547649528353	1330.2056013390577	12941.045643924868
hsa-miR-139-5p	2024.185222532343	822.9321336212732	569.7896533421251	5004.713291748769	2661.439357972078	1501.570355742409	12584.630014958999
hsa-miR-223-5p	1947.2232684883572	1310.187762486136	2555.645803645303	1950.1632581394072	1380.9952511746058	2946.906107814153	12091.121451747962
hsa-miR-148b-3p	1301.558250686256	1188.9892406028393	979.351809826432	846.8849708511948	1903.5066135172397	5791.543291287176	12011.834176771139
