name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
hsa-miR-6724-5p	0	4	0	0	0	0	0	0	0	3.9200000000000026
hsa-miR-193b-3p	0	0	0	0	3	0	0	0	0	3.0
hsa-miR-154-3p	0	3	0	0	0	0	0	0	0	3.0
hsa-miR-663a	0	0	0	0	3	0	0	0	0	3.0
hsa-miR-497-5p	3	0	0	0	0	0	0	0	0	3.0
hsa-miR-324-3p	0	0	0	0	0	0	3	0	0	3.0
hsa-miR-185-3p	0	0	0	3	0	0	0	0	0	3.0
hsa-miR-29b-2-5p	0	0	0	0	3	0	0	0	0	3.0
hsa-miR-505-3p	0	0	0	0	3	0	0	0	0	3.0
hsa-miR-193b-5p	0	0	0	0	3	0	0	0	0	3.0
hsa-miR-23a-3p	0	0	3	0	0	0	0	0	0	2.5
hsa-miR-136-3p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-1253	0	0	2	0	0	0	0	0	0	2.0
hsa-miR-130a-3p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-595	0	0	0	0	2	0	0	0	0	2.0
hsa-miR-29c-5p	0	2	0	0	0	0	0	0	0	2.0
hsa-miR-429	0	0	0	0	0	0	2	0	0	2.0
hsa-miR-532-3p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-452-5p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-3928-3p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-577	0	0	0	0	2	0	0	0	0	2.0
hsa-miR-6856-5p	0	0	2	0	0	0	0	0	0	2.0
hsa-miR-450a-5p	0	0	2	0	0	0	0	0	0	2.0
hsa-miR-4484	0	0	0	2	0	0	0	0	0	2.0
hsa-miR-4665-5p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-944	0	0	2	0	0	0	0	0	0	2.0
hsa-miR-3613-5p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-4515	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-20b-5p	2	0	0	0	0	0	0	0	0	2.0
hsa-miR-106a-5p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-939-5p	0	2	0	0	0	0	0	0	0	2.0
hsa-miR-6511b-3p	0	0	0	0	0	0	2	0	0	2.0
hsa-miR-1-3p	0	0	0	0	2	0	0	0	0	2.0
hsa-miR-1306-5p	0	0	2	0	0	0	0	0	0	2.0
hsa-miR-492	0	0	0	0	2	0	0	0	0	2.0
hsa-miR-539-3p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-877-5p	0	0	0	0	0	0	0	2	0	2.0
hsa-miR-4443	0	0	2	0	0	0	0	0	0	2.0
hsa-miR-106b-5p	0	2	0	0	0	0	0	0	0	2.0
hsa-miR-4433b-5p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-1911-5p	2	0	0	0	0	0	0	0	0	2.0
hsa-miR-28-3p	0	0	0	0	0	0	0	2	0	2.0
hsa-miR-1296-5p	0	0	0	0	0	0	2	0	0	2.0
hsa-miR-5100	0	0	0	0	2	0	0	0	0	2.0
hsa-miR-31-5p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-142-3p	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-3156-3p	0	0	0	2	0	0	0	0	0	2.0
hsa-miR-12136	0	0	0	0	0	0	0	0	2	2.0
hsa-miR-199a-5p	0	0	0	0	2	0	0	0	0	2.0
hsa-miR-125b-2-3p	0	0	0	2	0	0	0	0	0	2.0
hsa-miR-151b	0	2	0	0	0	0	0	0	0	1.5
hsa-miR-502-3p	0	0	0	0	0	0	0	0	1	1.0
hsa-miR-500a-3p	0	0	0	0	0	0	0	0	1	1.0
