name	mean male	noSamples_male	stddev male	mean female	noSamples_female	stddev female	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-323a-5p	34.98918628039195	115.0	14.43271950186188	34.45134773924702	77.0	12.852792945074754	0.9846284352875524	-0.022348690825478214	-0.2642475602128884	0.7918755733603237	1.0
hsa-miR-4508	17.689140761850425	115.0	18.681649388940087	15.230206900941798	77.0	10.60973940351533	0.8609918992667114	-0.2159284309501694	-1.0469047594061882	0.2964734791914775	1.0
hsa-miR-508-5p	0.027298307401321283	115.0	0.14783445644938037	0.0	77.0	0.0	0.0	-Infinity	-1.618930087211491	0.10712103164791598	1.0
hsa-miR-4507	0.0	115.0	0.0	0.009053893154137703	77.0	0.07944758999481176	1.0090538931541377	0.01300323025184265	1.2236812629656997	0.22258783610366284	1.0
hsa-miR-1248	0.18398847290718115	115.0	0.4774638492169528	0.14609763360195557	77.0	0.5008038987325202	0.7940586238555237	-0.332682572124282	-0.5284545856964492	0.5978005800837392	1.0
hsa-miR-4505	0.005097689898984819	115.0	0.05466663392979641	0.01030909634713922	77.0	0.09046195331234093	2.0223074669944574	1.0160023579659048	0.4972198132303971	0.6196089365486916	1.0
hsa-miR-1246	8.010330686984789	115.0	15.02816112741905	6.984995070660342	77.0	15.912788064578518	0.8719983410934063	-0.19760270449363831	-0.45250592273887325	0.6514207904659457	1.0
hsa-miR-4504	0.036134539726211674	115.0	0.2466394715870902	0.03238149960301455	77.0	0.16594479845464152	0.8961370436254733	-0.1582087185862764	-0.11692772660003095	0.9070408305546417	1.0
hsa-miR-6866-5p	0.07412383068141538	115.0	0.3390206084001789	0.020035157761623935	77.0	0.17580779585403297	0.2702930700888241	-1.887403571089671	-1.2880707877447806	0.19928780565298365	1.0
hsa-miR-3613-5p	9.104804512505691	115.0	4.8123391286331385	9.448116986028987	77.0	5.227788691241936	1.0377067374759938	0.0533987865019921	0.46791878095952627	0.6403789537107327	1.0
hsa-miR-372-3p	0.009031459916529452	115.0	0.09685161767232402	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645226	0.41463305945955486	1.0
