name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-378d	1457	0	1655	6506
hsa-miR-9983-3p	24	0	705	221
hsa-miR-378c	22083	0	31225	85061
hsa-miR-433-3p	0	0	3	0
hsa-miR-3065-3p	82	0	411	13
hsa-miR-378b	507	0	45	1804
hsa-miR-625-3p	4	0	23	20
hsa-miR-32-3p	67	0	52	36
hsa-miR-154-5p	0	0	3	0
hsa-miR-5001-5p	0	0	6	0
hsa-miR-4772-5p	2	0	2	6
hsa-miR-5006-3p	2	0	19	8
hsa-miR-4777-3p	0	0	4	0
hsa-miR-548e-5p	0	0	4	4
hsa-miR-2277-3p	25	0	108	21
hsa-miR-548j-3p	0	0	4	0
hsa-miR-5088-5p	0	0	2	0
hsa-miR-125b-5p	3030	0	27213	1459
hsa-miR-6882-5p	10	0	15	11
hsa-miR-3130-5p	0	0	7	5
hsa-miR-21-5p	219401	0	290340	116164
hsa-miR-4516	1159	0	777	4
hsa-miR-520e-3p	3	0	15	2
hsa-miR-24-1-5p	0	0	51	7
hsa-miR-4515	3	0	0	0
hsa-miR-3688-3p	6	0	26	21
hsa-miR-4766-5p	0	0	3	0
hsa-miR-1273h-3p	0	0	13	0
hsa-miR-1262	26	0	2	0
hsa-miR-1261	0	0	21	0
hsa-miR-1292-5p	10	0	87	8
hsa-miR-4510	30	0	7	10
hsa-miR-224-5p	5208	0	17649	2224
hsa-miR-196b-3p	2	0	13	12
hsa-miR-500b-5p	44	0	89	20
hsa-miR-6515-5p	2	0	22	3
hsa-miR-3124-5p	0	0	15	0
hsa-miR-208a-5p	0	0	6	0
hsa-miR-3129-3p	0	0	10	4
hsa-miR-23a-5p	2	0	0	2
hsa-miR-3200-5p	0	0	3	0
hsa-miR-195-5p	952	0	8734	1448
hsa-miR-579-5p	0	0	2	0
hsa-miR-218-5p	166	0	374	312
hsa-miR-4508	8	0	69	0
hsa-miR-6509-5p	4	0	52	0
hsa-miR-4725-3p	0	0	10	0
hsa-miR-1273c	0	0	2	0
hsa-miR-4501	2	0	0	0
hsa-miR-30a-5p	57752	0	236472	149644
hsa-miR-4638-5p	0	0	3	0
hsa-miR-4999-5p	0	0	19	0
hsa-miR-5001-3p	22	0	34	24
hsa-miR-4772-3p	2	0	0	0
hsa-miR-106b-5p	9108	0	19567	17025
