name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-301a-3p	10	0	34	67	111.0
hsa-miR-223-5p	9	0	73	29	111.0
hsa-miR-330-5p	9	0	101	0	110.0
hsa-let-7e-3p	20	0	37	52	109.0
hsa-miR-1180-3p	2	0	107	0	109.0
hsa-miR-1283	49	0	24	35	108.0
hsa-miR-520f-3p	3	0	75	30	107.5
hsa-miR-149-5p	23	0	68	15	106.0
hsa-miR-889-3p	34	0	58	13	105.0
hsa-miR-3182	2	0	65	38	105.0
hsa-miR-1292-5p	10	0	87	8	105.0
hsa-miR-374b-3p	6	0	98	0	104.0
hsa-miR-2115-3p	40	0	54	8	102.0
hsa-miR-301b-3p	17	0	20	64	101.0
hsa-miR-340-3p	11	0	90	0	101.0
hsa-miR-545-5p	10	0	76	15	101.0
hsa-miR-3909	6	0	72	22	100.0
hsa-miR-4326	16	0	69	14	99.0
hsa-miR-6499-5p	4	0	85	9	98.0
hsa-miR-3912-3p	22	0	43	33	98.0
hsa-miR-4485-3p	0	0	97	0	97.0
hsa-miR-6821-5p	0	0	97	0	97.0
hsa-miR-186-3p	0	0	58	38	96.0
hsa-miR-3622a-5p	2	0	91	0	93.0
hsa-miR-3074-5p	8	0	71	12	91.0
hsa-miR-3064-3p	17	0	55	19	91.0
hsa-miR-1304-3p	29	0	22	39	90.0
hsa-miR-381-3p	6	0	77	7	90.0
hsa-miR-363-3p	6	0	69	14	89.0
hsa-miR-1276	36	0	29	23	88.0
hsa-miR-5684	17	0	53	17	87.0
hsa-miR-20a-3p	17	0	66	4	87.0
hsa-miR-518e-3p	33	0	19	34	86.0
hsa-miR-23c	60	0	4	23	85.5
hsa-miR-548o-3p	20	0	42	22	84.0
hsa-miR-550a-5p	14	0	56	14	83.8
hsa-miR-7977	3	0	78	2	83.0
hsa-miR-659-5p	4	0	56	23	83.0
hsa-miR-139-5p	9	0	73	0	82.0
hsa-miR-455-5p	13	0	42	26	81.0
hsa-miR-5001-3p	22	0	34	24	80.0
hsa-miR-4443	8	0	72	0	80.0
hsa-miR-4677-3p	9	0	67	3	79.0
hsa-miR-212-3p	36	0	23	20	79.0
hsa-miR-542-3p	19	0	24	35	78.0
hsa-miR-455-3p	12	0	64	2	78.0
hsa-miR-19b-1-5p	3	0	38	37	78.0
hsa-miR-6511b-3p	12	0	58	8	78.0
hsa-miR-934	3	0	51	23	77.0
hsa-miR-4508	8	0	69	0	76.5
hsa-miR-4286	48	0	14	14	76.0
hsa-miR-760	2	0	61	13	76.0
hsa-miR-6516-5p	2	0	71	3	76.0
hsa-miR-147b-3p	8	0	33	33	74.0
hsa-miR-5690	16	0	54	2	72.0
hsa-miR-188-5p	34	0	23	15	72.0
hsa-miR-3605-3p	20	0	45	6	71.0
hsa-miR-3158-3p	4	0	57	10	71.0
hsa-miR-4802-3p	8	0	48	15	71.0
hsa-miR-181c-3p	9	0	56	5	69.5
hsa-miR-10400-5p	55	0	14	0	69.0
hsa-miR-192-3p	3	0	48	17	68.0
hsa-miR-217-5p	0	0	68	0	68.0
hsa-miR-30b-3p	0	0	67	0	67.0
hsa-miR-3177-3p	22	0	43	2	67.0
hsa-miR-219a-1-3p	14	0	35	18	67.0
hsa-miR-219a-2-3p	0	0	66	0	66.0
hsa-miR-615-3p	8	0	56	2	66.0
hsa-miR-519a-5p	28	0	17	20	65.66
hsa-miR-3613-3p	12	0	21	32	65.0
hsa-miR-3127-5p	9	0	27	28	64.0
hsa-miR-125b-1-3p	11	0	41	12	64.0
hsa-miR-202-5p	0	0	64	0	64.0
hsa-miR-519d-3p	10	0	51	3	64.0
hsa-miR-520g-3p	14	0	43	7	63.75
hsa-miR-296-5p	4	0	53	6	63.0
