name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
hsa-miR-543	8	36	41	0	0	16	106	0	78	8	0	57	103	453.0
hsa-miR-7706	0	2	3	0	2	2	16	0	273	4	0	7	142	451.0
hsa-miR-95-3p	0	0	2	2	0	0	0	0	350	0	0	2	90	446.0
hsa-miR-339-3p	0	0	6	0	0	6	11	0	276	0	0	2	144	445.0
hsa-miR-382-5p	2	0	0	0	0	3	6	0	230	2	0	26	174	443.0
hsa-miR-130a-3p	11	0	8	2	7	6	11	0	260	2	0	5	107	419.0
hsa-miR-15b-5p	2	0	16	2	0	3	20	0	166	0	0	40	165	414.0
hsa-miR-30c-5p	25	3	42	0	0	4	161	0	35	12	0	121	8	411.67999999999995
hsa-miR-224-5p	7	0	2	0	0	2	26	0	209	0	0	21	136	403.0
hsa-miR-548e-3p	0	0	4	0	0	2	0	0	299	0	0	2	95	402.0
hsa-miR-22-5p	8	0	2	0	0	3	0	0	199	2	0	2	167	383.0
hsa-miR-425-3p	2	69	17	0	0	19	61	0	127	0	0	14	58	367.0
hsa-miR-200c-3p	0	3	0	0	0	0	9	0	156	0	0	4	192	364.0
hsa-miR-23b-3p	20	8	16	6	9	9	89	0	32	13	0	78	84	361.5
hsa-miR-340-3p	0	4	20	6	2	19	65	0	151	6	0	28	53	354.0
hsa-miR-11401	0	0	4	2	0	0	0	0	194	0	0	0	149	349.0
hsa-miR-769-5p	0	0	4	0	0	0	4	0	210	0	0	3	127	348.0
hsa-miR-139-3p	6	5	15	4	0	0	28	0	120	6	0	7	155	346.0
hsa-miR-221-5p	2	0	3	0	0	0	6	0	210	0	0	4	113	338.0
hsa-miR-1307-5p	14	16	12	3	7	28	53	0	97	17	0	8	79	334.0
hsa-miR-18a-5p	0	0	3	0	0	0	0	0	275	0	0	0	55	333.0
hsa-miR-184	0	0	0	0	0	0	0	0	219	0	0	0	111	330.0
hsa-miR-421	0	2	4	0	0	0	7	0	217	0	0	4	85	319.0
hsa-miR-548o-3p	0	0	3	0	0	4	3	0	254	4	0	0	51	319.0
hsa-miR-484	0	0	17	2	2	2	45	0	92	5	0	82	63	310.0
hsa-miR-150-5p	7	2	14	0	0	2	30	0	73	2	0	115	65	310.0
hsa-miR-203a-3p	2	7	10	2	3	53	42	0	89	4	0	21	57	290.0
hsa-miR-125b-2-3p	0	0	0	0	0	2	0	0	171	0	0	0	112	285.0
hsa-miR-29c-3p	4	1	2	7	2	2	14	0	169	0	0	9	71	281.33
hsa-miR-328-3p	14	5	33	4	4	0	122	0	37	6	0	38	17	280.0
hsa-miR-345-5p	2	0	0	0	0	2	6	0	199	0	0	2	68	279.0
hsa-miR-6852-5p	5	4	9	2	0	0	18	0	130	4	0	5	94	271.0
hsa-miR-378c	1	4	5	0	0	1	3	0	205	3	0	2	47	269.25
hsv2-miR-H10	2	36	9	3	6	145	18	0	36	10	0	0	0	265.0
hsa-miR-4306	3	6	9	3	4	130	21	0	36	4	0	19	21	253.5
hsa-miR-889-3p	2	5	0	0	0	0	5	0	185	5	0	4	47	253.0
hsa-miR-1843	3	4	5	0	0	0	13	0	138	2	0	7	80	252.0
hsa-miR-1278	0	0	0	2	0	0	3	0	192	3	0	2	44	246.0
hsa-miR-7976	0	0	2	0	0	0	7	0	131	0	0	2	103	245.0
hsa-miR-194-5p	2	2	9	0	2	7	34	0	121	7	0	23	38	245.0
hsa-miR-3913-5p	0	0	0	0	0	0	2	0	167	0	0	0	74	243.0
hsa-miR-155-5p	11	5	11	2	0	0	26	0	84	8	0	22	62	231.0
hsa-miR-96-5p	0	0	0	0	0	5	5	0	163	0	0	5	49	227.0
hsa-miR-455-5p	0	2	0	0	0	13	0	0	159	8	0	0	37	219.0
hsa-miR-369-5p	0	0	0	0	0	0	3	0	141	4	0	3	64	215.0
hsa-miR-151b	12	1	39	10	1	3	83	0	22	6	0	5	28	208.0
hsa-miR-15b-3p	2	0	8	0	0	2	8	0	136	2	0	12	37	207.0
hsa-miR-363-5p	0	0	0	0	0	0	2	0	139	0	0	0	59	200.0
hsa-miR-1294	0	0	2	4	0	3	0	0	95	4	0	0	91	199.0
hsa-miR-320d	1	4	2	0	1	10	3	0	53	0	0	7	102	184.36
hsa-miR-3613-5p	0	0	2	0	0	0	7	0	151	0	0	0	23	183.0
hsa-miR-223-5p	6	6	45	0	0	12	81	0	0	30	0	2	0	182.0
hsa-miR-374a-5p	6	0	44	0	0	14	82	0	0	11	0	18	4	179.0
hsa-miR-185-3p	0	4	12	0	0	26	14	0	76	5	0	3	34	174.0
hsa-miR-493-5p	2	0	2	0	0	17	39	0	53	9	0	30	21	173.0
hsa-miR-511-5p	0	6	6	0	0	0	2	2	115	3	0	14	23	171.0
hsa-miR-589-5p	0	0	4	0	0	0	2	0	115	10	0	0	40	171.0
hsa-miR-1301-3p	2	13	22	0	0	0	25	0	57	0	0	11	35	165.0
hsa-miR-409-3p	20	19	11	0	0	16	77	0	0	6	0	12	4	165.0
hsa-miR-374b-5p	4	0	6	2	0	0	23	0	90	4	0	10	22	161.0
hsa-miR-9985	0	0	1	1	0	45	16	0	50	4	0	16	28	160.5
hsa-miR-24-2-5p	0	21	20	0	0	30	43	0	0	12	0	28	0	153.5
hsa-miR-3605-5p	0	0	0	0	0	0	0	0	57	0	0	0	92	149.0
hsa-miR-654-5p	8	4	11	2	0	2	30	0	35	7	0	10	38	147.0
hsa-miR-199b-5p	0	0	4	0	2	2	11	0	106	2	0	4	11	142.0
hsa-miR-324-3p	0	0	0	0	0	0	2	0	90	3	0	2	43	140.0
hsa-miR-542-3p	0	0	2	0	0	0	0	0	113	0	0	0	22	137.0
hsa-miR-181a-3p	0	4	0	0	0	0	11	0	77	2	0	4	37	135.0
hsa-miR-210-3p	0	0	2	0	0	13	6	0	71	0	0	0	41	133.0
hsa-miR-136-3p	0	0	0	0	0	0	2	0	89	0	0	6	32	129.0
hsa-miR-641	0	0	5	0	0	7	12	0	66	0	0	0	39	129.0
hsa-miR-499a-5p	0	0	0	0	0	0	2	0	106	0	0	0	19	127.0
hsa-miR-4446-3p	9	0	18	0	0	4	23	0	13	10	0	8	41	126.0
hsa-miR-505-5p	0	0	0	2	0	0	8	0	41	0	0	2	72	125.0
hsa-miR-382-3p	0	0	2	0	0	0	11	0	51	0	0	16	41	121.0
hsa-miR-99b-3p	2	0	10	2	0	0	0	0	64	0	0	0	43	121.0
hsa-miR-1304-5p	2	0	2	0	0	0	2	0	88	0	0	0	25	119.0
hsa-miR-27a-5p	0	0	0	0	2	0	0	0	82	0	0	0	33	117.0
hsa-miR-335-5p	0	0	3	2	0	0	4	0	65	0	0	8	34	116.0
