name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
hsa-miR-338-5p	0.0	1.4834385214864942	0.0	0.0	0.0	4.069838427414432	0.0	0.0	0.0	0.0	2.5961191480229258	2.156398002066445	1.0827684440130214	0.0	0.6667406748815785	0.6226663632205923	0.0	0.0	1.785340745671367	2.300114315681489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.449915368172092	2.9118015316076056	4.029993409128961	1.3772643948231387	3.781586375484516	2.3799686605726773	1.6413057572082046	5.4153062037110775	1.7848898365992851	0.0	5.612199799925078	1.5100843432441846	0.0	0.0	0.0	1.053365978315408	2.075272197889656
hsa-miR-190b-5p	1.2202450862255683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6161137148761272	0.0	0.0	0.6667406748815785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3772643948231387	1.6206798752076497	0.0	1.6413057572082046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7022439855436053	0.0
hsa-miR-6513-5p	0.0	0.0	0.0	0.0	6.508785232868063	0.0	3.716670755004497	0.0	2.076291245525592	0.0	0.8653730493409753	1.2322274297522544	0.0	0.0	2.0002220246447355	1.8679990896617769	0.8308587589961233	1.6727480350786414	5.058465446068873	6.900342947044468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.112478842043023	0.0	2.198178223161251	3.443160987057847	3.781586375484516	1.903974928458142	1.6413057572082046	2.5483793899816836	0.0	0.0	1.4030499499812694	1.0067228954961231	0.0	2.024031323908769	3.6187174541598965	1.4044879710872107	1.72939349824138
hsa-miR-6879-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6668516872039463	0.0	0.0	0.0	0.5951135818904557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4030499499812694	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3675-5p	0.0	0.0	0.0	2.2800441416545825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3127-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.076291245525592	0.0	0.0	0.0	4.331073776052086	0.0	2.3335923620855246	1.5566659080514809	2.9080056564864316	1.1151653567190944	1.785340745671367	2.875142894601862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.112478842043023	0.0	1.0990891115806256	1.3772643948231387	7.022946125899815	0.0	0.0	1.9112845424862626	1.1899265577328566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.037636098944828
hsa-miR-1307-5p	7.931593060466194	2.2251577822297417	10.734747457398388	18.24035313323666	6.508785232868063	6.1047576411216475	0.0	7.863004004515611	6.2288737365767775	13.853026109595907	13.845968789455604	11.398103725208353	7.03799488608464	11.57357174891136	11.667961810427624	25.84065407365458	9.139446348957357	15.054732315707774	37.789712450043936	27.0263432092575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.012309578387207	8.371429403371867	19.783604008451263	17.215804935289235	16.74702537714571	17.611768088237813	4.513590832322563	13.378991797403838	20.823714760324993	0.0	5.612199799925078	11.073951850457354	11.42211909680409	18.21628191517892	9.046793635399741	14.747123696415713	12.105754487689659
hsa-miR-769-5p	12.202450862255683	19.284700779324428	6.13414140422765	13.680264849927495	16.271963082170156	14.244434495950511	11.15001226501349	3.369858859078119	15.572184341441943	9.65513940971836	25.095818430888283	23.7203780227309	9.744915996117193	12.400255445262172	11.667961810427624	8.717329085088291	9.139446348957357	26.20638588289872	31.54101984019415	18.975943104372288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.118633631236626	9.827330169175669	27.1108647523221	21.34759811975865	18.36770525235336	9.51987464229071	15.592404693477944	13.697539221151548	17.253935087126422	18.91737004044979	7.716774724896982	12.584036193701538	14.685581695890974	15.180234929315766	0.0	21.418441559079962	17.2939349824138
hsa-miR-100-5p	1040.258936007297	579.282742640476	1101.0783820588633	1142.302114968946	6.508785232868063	25.436490171340196	903.1509934660927	17.97258058174997	640.5358492446452	914.5096175683237	59.71074040452729	95.95971109195682	737.3653103728676	2150.204294208461	795.2549399650028	614.5717004987246	957.357005053283	2652.9783836347256	103.54976324893929	510.62537808129065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.62394210215114	961.8044434091372	1463.6203335881999	2206.0332444079622	806.5583512283403	610.2239645708345	74.67941195297331	846.0619574739189	354.5981142043913	4300.363324783424	16.135074424784598	14.849162708567816	1169.9513417726475	20.240313239087687	1031.3344744355704	1768.777038587956	806.2432488801312
hsa-miR-4723-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1500571578407446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
