name	SRX387062	SRX387063	SRX387064
hsa-miR-139-5p	134.25026957549682	110.26180962013562	5.840763270944247	250.3528424665767
hsa-miR-889-3p	237.9239652974997	9.533915869410222	0.0	247.45788116690994
hsa-miR-625-5p	97.46282915801193	143.00873804115335	5.840763270944247	246.31233047010954
hsa-let-7a-3p	57.6495819529417	187.36217273797482	0.0	245.01175469091652
hsa-miR-378c	42.42765043820317	178.13914542952364	19.712576039436836	240.27937190716364
hsa-miR-493-5p	217.38032973968348	22.798494470328794	0.0	240.17882421001227
hsa-miR-155-5p	173.90426379174679	29.845301852066786	17.522289812832742	221.27185545664634
hsa-miR-144-5p	110.52157424127498	27.358193364394552	81.77068579321947	219.650453398889
hsa-miR-425-3p	132.17998072083319	77.92939928039661	5.840763270944247	215.95014327217405
hsa-miR-374a-5p	200.81801890237426	3.7306627315083483	0.0	204.5486816338826
hsa-miR-145-5p	151.44959236808717	38.13566347764089	14.601908177360619	204.18716402308868
hsa-miR-1843	115.45841689470367	63.42126643564192	23.36305308377699	202.2427364141226
hsa-miR-376b-3p	64.70979779064082	135.54741257813666	0.0	200.25721036877746
hsa-miR-324-3p	79.78574739896075	86.63427898724942	29.203816354721237	195.6238427409314
hsa-miR-654-5p	61.15314770698788	100.7278937507254	32.12419799019336	194.00523944790663
hsa-miR-133a-3p	44.2723308920381	137.62000298453017	11.681526541888495	193.57386041845677
hsa-miR-221-5p	128.5171619779667	63.00674835436321	0.0	191.52391033232993
hsa-miR-29c-3p	166.57862630601386	11.60650627580375	11.681526541888495	189.8666591237061
hsa-miR-146b-3p	67.84177323743968	94.09560445026611	26.283434719249115	188.2208124069549
hsa-miR-190a-5p	163.23431354078795	16.995241332426918	5.840763270944247	186.07031814415913
hsa-miR-15b-3p	79.46724142132018	90.36494171875776	14.601908177360619	184.43409131743857
hsa-miR-1301-3p	95.07403432570771	85.805242824692	0.0	180.87927715039973
hsa-miR-330-3p	79.46724142132018	101.1424118320041	0.0	180.60965325332427
hsa-miR-30d-3p	138.86860625128497	38.964699640198305	0.0	177.8333058914833
hsa-miR-431-3p	85.83736097413143	90.77945980003648	0.0	176.6168207741679
hsa-miR-361-5p	154.4753991556725	5.803253137901875	11.681526541888495	171.96017883546287
hsa-miR-485-3p	86.47437292941255	63.42126643564192	20.442671448304868	170.33831081335936
hsa-miR-30c-1-3p	64.49746047221377	94.09560445026611	11.681526541888495	170.27459146436837
hsa-miR-361-3p	108.13277940897076	46.840543184493704	14.601908177360619	169.5752307708251
hsa-miR-574-3p	102.87743077790148	44.76795277810018	14.601908177360619	162.2472917333623
hsa-miR-505-3p	78.03396452193766	67.56644724842897	14.601908177360619	160.20231994772726
hsa-miR-376a-3p	87.21755354390719	65.49385684203544	0.0	152.71141038594263
hsa-miR-342-5p	10.032938295677699	18.238795576263037	122.6560286898292	150.92776256176992
hsa-miR-335-3p	122.46554840279605	20.311385982656564	0.0	142.77693438545262
hsa-miR-33a-5p	106.69950250958823	32.33241033973902	0.0	139.03191284932726
hsa-miR-1908-5p	87.7483968399748	36.477591152526074	14.601908177360619	138.8278961698615
hsa-miR-7706	23.250936367761017	47.66957934705112	64.24839598038672	135.16891169519886
hsa-let-7f-2-3p	57.968087930582264	75.85680887400308	0.0	133.82489680458534
hsa-miR-18a-5p	122.7840543804366	10.362952031967634	0.0	133.14700641240424
hsa-miR-7977	70.54907404738445	26.529157201837144	35.044579625665484	132.12281087488708
hsa-miR-501-3p	49.846185500747936	59.276085622854865	20.442671448304868	129.56494257190766
hsa-miR-323a-3p	68.95654415918165	53.47283248495299	5.840763270944247	128.2701399150789
hsa-miR-874-3p	32.965368685798154	52.22927824111687	40.885342896609735	126.07998982352476
hsa-miR-136-5p	106.69950250958823	16.580723251148214	0.0	123.28022576073644
hsa-miR-191-3p	63.86044851693266	48.49861550960853	5.840763270944247	118.19982729748543
hsa-miR-99a-5p	33.283874663438716	65.07933876075674	17.522289812832742	115.8855032370282
hsa-miR-369-3p	113.54738102886031	2.0725904063935268	0.0	115.61997143525385
hsa-miR-362-5p	82.97080717536637	32.33241033973902	0.0	115.30321751510539
hsa-miR-26b-3p	88.22615580643564	14.508132844754687	8.761144906416371	111.4954335576067
hsa-miR-27b-5p	34.2393925963604	73.78421846760955	0.0	108.02361106396995
hsa-miR-215-5p	44.11307790321782	13.264578600918572	49.646487803026105	107.0241443071625
