name	SRX387062	SRX387063	SRX387064
hsa-miR-5187-5p	14	0	0	14.0
hsa-miR-889-5p	8	6	0	14.0
hsa-miR-550b-3p	10	4	0	13.8
hsa-miR-3127-5p	5	6	2	13.0
hsa-miR-937-3p	6	7	0	13.0
hsa-miR-6735-5p	11	2	0	13.0
hsa-miR-503-5p	9	2	2	13.0
hsa-miR-3688-3p	13	0	0	13.0
hsa-miR-4766-3p	13	0	0	13.0
hsa-miR-548ba	10	3	0	13.0
hsa-miR-19a-5p	13	0	0	13.0
hsa-miR-577	13	0	0	13.0
hsa-miR-200a-3p	13	0	0	13.0
Hsa-Mir-544_5p	13	0	0	13.0
hsa-miR-373-3p	2	11	0	13.0
hsa-miR-1250-5p	9	4	0	13.0
hsa-miR-6514-5p	9	4	0	13.0
hsa-miR-219a-5p	11	2	0	13.0
hsa-miR-4775	13	0	0	13.0
hsa-miR-34c-5p	10	3	0	13.0
hsa-miR-933	9	3	0	12.0
hsa-miR-380-5p	10	2	0	12.0
hsa-miR-3138	5	7	0	12.0
hsa-miR-4742-3p	12	0	0	12.0
hsa-miR-6882-5p	12	0	0	12.0
hsa-miR-4516	0	7	5	12.0
hsa-miR-3124-5p	8	4	0	12.0
hsa-miR-3200-3p	7	2	3	12.0
hsa-miR-4685-3p	7	0	5	12.0
hsa-miR-548ag	12	0	0	12.0
hsa-miR-1537-5p	12	0	0	12.0
hsa-miR-3691-5p	9	3	0	12.0
hsa-miR-636	4	4	4	12.0
hsa-miR-545-3p	12	0	0	12.0
hsa-miR-5193	11	0	0	11.0
hsa-miR-548u	9	2	0	11.0
hsa-miR-132-5p	7	4	0	11.0
hsa-miR-6734-5p	11	0	0	11.0
hsa-miR-548at-5p	7	4	0	11.0
hsa-miR-134-3p	11	0	0	11.0
hsa-miR-2278	11	0	0	11.0
hsa-miR-149-5p	11	0	0	11.0
hsa-miR-208b-3p	11	0	0	11.0
hsa-miR-6131	0	3	7	10.0
hsa-miR-610	8	2	0	10.0
hsa-miR-494-5p	10	0	0	10.0
hsa-miR-133a-5p	4	6	0	10.0
hsa-miR-3611	10	0	0	10.0
hsa-miR-4701-5p	10	0	0	10.0
hsa-miR-3909	8	0	2	10.0
hsa-miR-4510	3	8	0	10.0
hsa-miR-181b-3p	10	0	0	10.0
hsa-miR-624-5p	10	0	0	10.0
hsa-miR-502-5p	10	0	0	10.0
hsa-miR-362-3p	8	0	2	10.0
hsa-miR-184	10	0	0	10.0
hsa-miR-6866-5p	9	0	0	9.0
hsa-miR-1229-3p	7	2	0	9.0
hsa-miR-130a-5p	4	5	0	9.0
hsa-miR-7854-3p	7	2	0	9.0
hsa-miR-770-5p	9	0	0	9.0
hsa-miR-129-5p	9	0	0	9.0
hsa-miR-187-3p	4	5	0	9.0
hsa-miR-4474-3p	9	0	0	9.0
hsa-miR-24-1-5p	9	0	0	9.0
hsa-miR-1256	9	0	0	9.0
hsa-miR-5001-3p	9	0	0	9.0
hsa-miR-7851-3p	3	6	0	9.0
hsa-miR-6721-5p	6	3	0	9.0
hsa-miR-3942-5p	9	0	0	9.0
hsa-miR-6810-5p	7	2	0	9.0
hsa-miR-584-3p	7	2	0	9.0
hsa-miR-643	7	0	2	9.0
hsa-miR-6877-5p	4	5	0	9.0
hsa-miR-4762-5p	9	0	0	9.0
hsa-miR-6724-5p	4	5	0	8.960000000000003
hsa-miR-3667-5p	6	2	0	8.0
hsa-miR-873-3p	0	8	0	8.0
hsa-miR-3939	8	0	0	8.0
