name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-miR-425-5p	18	11	3	8	2	22	0	37	10	5	0	1581	0	2	2	0	4	2	2	82	10	4	17	1804	1759	1664	0	7	2	15	3	0	7076.0
hsa-miR-142-3p	0	0	0	0	0	45	8	58	22	2	0	2056	0	18	0	2	0	2	0	0	0	0	0	1208	1392	2119	0	2	6	0	0	2	6942.0
hsa-miR-221-3p	535	25	0	42	7	60	25	103	315	7	39	899	0	34	0	128	0	0	21	108	29	8	188	1429	1083	791	14	527	14	13	18	2	6464.0
hsa-miR-484	28	17	7	14	0	7	0	7	5	2	0	1895	0	0	0	11	0	4	2	19	9	3	17	543	1915	1906	0	0	2	6	7	0	6426.0
hsa-miR-30e-3p	43	13	2	63	58	83	2	278	35	8	2	1191	0	19	4	6	38	2	31	96	1	6	2	1578	1199	1237	0	15	0	192	0	0	6200.5
hsa-miR-30b-5p	4	0	0	5	28	64	15	49	10	8	3	323	0	0	2	12	35	2	61	460	0	2	14	4276	231	262	0	45	0	152	0	0	6063.99
hsa-miR-23a-3p	130	5	0	2	35	105	19	671	260	71	45	338	0	71	0	193	11	2	60	431	45	27	247	1713	576	546	8	213	9	109	10	2	5946.0
hsa-miR-100-5p	1076	463	9	720	83	153	0	14	18	0	5	29	0	0	0	11	65	0	73	463	11	2	50	921	1311	25	2	11	0	290	14	2	5818.5
hsa-miR-194-5p	291	2	0	97	0	31	0	0	5	0	0	1335	0	0	0	2	0	2	3	24	0	4	2	947	1316	1361	0	6	0	5	2	2	5437.0
hsa-miR-652-3p	17	2	0	0	2	13	0	17	4	2	0	1072	0	0	2	8	0	0	4	441	4	2	13	1556	930	935	4	11	0	32	2	0	5073.0
hsa-miR-320b	26	184	47	35	0	5	3	3	3	0	9	206	0	0	0	663	2	0	5	590	728	0	947	559	288	237	21	6	1	39	159	0	4764.860000000001
hsa-miR-660-5p	61	0	0	15	18	23	2	11	45	3	4	875	0	3	3	10	4	2	30	97	6	2	12	1476	622	737	0	69	0	13	0	0	4143.0
hsa-miR-126-5p	0	0	0	2	0	17	0	0	0	0	0	952	0	0	3	0	0	2	0	2	0	2	0	1029	858	1245	0	0	0	0	0	0	4112.0
hsa-miR-146a-5p	134	16	3	102	26	46	2	63	8	3	7	236	0	8	0	10	4	0	46	1412	2	5	122	978	340	288	0	4	2	52	2	0	3919.5
hsa-miR-15a-5p	0	0	0	0	0	7	0	2	4	0	0	945	0	0	0	0	0	0	0	4	0	0	0	766	899	1072	0	0	0	0	0	0	3699.0
hsa-miR-3615	16	17	4	8	0	4	0	5	0	0	0	993	0	6	3	4	0	4	0	5	9	0	4	312	1107	1182	0	0	0	0	2	0	3685.0
hsa-miR-941	25	5	0	8	6	15	0	87	12	2	0	767	0	9	0	2	9	0	0	49	0	2	0	1011	794	631	7	18	8	37	0	2	3506.25
hsa-miR-98-5p	265	0	0	144	19	37	3	20	8	0	0	449	0	0	2	6	22	0	18	73	0	0	3	1102	567	583	0	29	2	63	3	0	3418.5500000000006
hsa-miR-374b-5p	3	0	0	2	32	63	0	53	10	5	0	293	0	2	0	2	28	0	51	142	0	4	0	1779	343	352	0	17	0	182	0	0	3363.0
hsa-miR-23b-3p	90	5	0	4	65	37	7	107	134	11	25	131	0	10	0	129	34	0	98	535	36	6	182	823	196	214	4	183	15	254	5	0	3332.0
hsa-miR-29a-3p	149	0	0	61	37	71	3	95	71	5	21	423	2	18	0	65	32	0	130	575	8	9	34	577	335	315	2	60	5	208	6	0	3316.01
hsa-miR-106a-5p	4	0	0	3	3	10	0	0	2	0	0	960	0	0	0	0	4	0	24	198	0	0	0	500	639	902	0	0	0	26	0	0	3274.16
hsa-miR-99b-5p	789	103	0	534	28	56	2	22	5	0	0	78	0	2	0	11	44	0	39	354	9	0	5	746	92	83	2	9	3	229	0	0	3245.0
hsa-miR-374a-5p	0	0	0	0	7	14	0	5	13	0	0	751	0	0	0	2	4	0	17	58	0	3	0	732	762	826	0	11	0	22	0	3	3230.0
hsa-miR-629-5p	94	15	0	17	5	14	3	59	28	13	0	505	0	0	2	10	12	0	7	250	11	3	36	921	418	380	20	40	15	59	0	0	2937.0
hsa-miR-222-3p	176	10	0	101	0	12	9	22	60	2	5	467	0	2	2	4	0	0	9	27	2	7	26	779	531	366	7	87	8	0	2	0	2723.0
hsa-miR-125b-5p	386	53	14	121	26	32	15	7	45	0	3	31	0	4	0	28	27	0	52	449	39	0	49	767	157	35	32	104	15	204	23	0	2718.0
hsa-miR-32-5p	0	0	0	0	0	13	0	8	9	0	0	559	0	0	0	2	3	0	7	23	0	2	0	859	443	547	0	6	0	7	0	0	2488.0
hsa-miR-361-3p	63	26	2	24	4	18	0	35	6	0	0	447	0	4	0	6	14	0	2	136	3	2	9	622	423	461	0	6	0	79	0	0	2392.0
hsa-miR-30a-3p	892	165	0	785	31	7	0	2	5	0	2	22	0	0	0	2	8	0	23	91	1	0	2	79	29	37	0	0	0	49	4	0	2232.5
hsa-miR-125a-5p	815	119	4	446	6	16	2	0	2	0	0	79	0	4	0	21	4	0	14	164	22	0	12	239	87	67	0	6	0	80	5	0	2214.0
hsa-miR-150-5p	5	9	0	4	0	33	0	5	4	0	0	598	0	2	0	2	0	0	2	6	4	2	5	758	306	409	0	3	0	0	5	0	2162.0
hsa-miR-454-3p	0	0	0	0	0	5	0	2	0	0	0	508	0	0	0	0	0	0	0	0	0	3	0	284	615	606	0	0	0	0	0	0	2023.0
hsa-miR-141-3p	15	1	0	9	28	18	0	5	28	0	5	0	0	3	0	5	37	0	92	1408	0	0	3	99	0	2	0	29	4	192	0	0	1982.5
hsa-miR-15b-3p	2	0	0	2	0	7	0	2	0	0	0	200	0	0	3	0	0	0	0	0	0	0	0	1384	204	172	0	2	0	0	0	0	1978.0
hsa-miR-210-3p	28	10	0	0	0	8	61	11	127	0	0	137	0	4	0	0	3	0	4	134	2	0	8	490	102	275	209	272	44	15	0	0	1944.0
hsa-miR-320c	10	81	14	16	0	0	0	0	0	0	3	39	0	0	0	325	0	0	0	169	403	0	538	127	56	58	1	1	0	14	79	0	1933.04
hsa-miR-19a-3p	7	0	0	0	0	6	0	5	5	0	0	459	0	2	0	0	0	0	0	12	0	0	0	498	375	422	0	0	0	0	0	0	1791.0
hsa-miR-199a-3p	4	0	0	0	0	214	0	25	6	1	19	217	0	6	0	0	0	0	0	7	0	0	5	764	283	197	0	0	0	0	0	0	1749.02
hsa-miR-374a-3p	0	0	0	0	12	17	0	14	2	0	0	255	0	0	0	0	19	0	4	12	0	0	0	783	281	281	0	8	0	26	0	0	1714.0
hsa-miR-152-3p	200	2	0	51	12	86	2	15	30	5	2	80	0	0	0	0	49	0	42	488	0	0	0	320	105	58	0	42	15	108	0	0	1712.0
hsa-miR-29b-3p	0	0	0	2	7	5	0	0	5	0	0	280	0	0	0	1	3	0	24	124	0	0	3	313	559	350	0	0	0	23	0	0	1699.34
hsa-miR-429	262	35	2	124	37	13	9	14	36	2	11	2	0	0	0	17	37	0	139	352	4	0	7	256	0	2	0	142	3	178	0	0	1684.0
hsa-miR-584-5p	22	8	0	10	0	0	0	0	2	0	0	535	0	0	0	0	0	0	0	2	0	0	0	272	355	445	0	2	0	0	0	0	1653.0
hsa-miR-28-3p	204	28	0	76	25	38	2	67	6	0	0	78	0	0	0	0	39	0	26	430	0	0	0	239	64	62	2	14	15	212	0	0	1627.0
hsa-miR-1180-3p	71	41	8	41	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	63	0	0	5	156	362	383	0	0	0	0	0	0	1497.0
hsa-miR-193b-3p	7	2	0	0	0	0	102	3	15	0	0	2	0	0	0	13	0	0	3	136	6	0	21	1013	0	0	73	85	5	9	0	0	1495.0
hsa-miR-1307-3p	169	230	92	75	0	2	0	10	2	0	0	145	0	0	0	0	2	0	2	75	0	0	25	167	199	250	0	0	2	2	0	0	1449.0
hsa-miR-96-5p	3	0	0	2	4	3	0	2	2	0	0	144	0	0	2	6	4	0	13	113	0	0	2	174	416	403	0	12	0	17	0	0	1322.0
hsa-miR-92b-3p	25	0	0	19	0	0	0	2	0	0	0	311	0	0	0	0	0	0	0	4	0	0	0	219	294	393	0	0	0	0	0	0	1267.0
hsa-miR-500a-3p	50	1	0	9	0	7	2	4	2	0	0	268	0	0	0	2	0	1	3	31	2	0	0	418	216	228	0	9	0	6	0	0	1257.0
hsa-miR-18a-5p	0	0	0	0	0	2	0	0	0	0	0	411	0	0	0	1	0	0	2	0	0	0	0	221	293	326	0	0	0	0	0	0	1255.0
hsa-miR-501-3p	58	9	0	14	0	0	0	2	0	0	0	301	0	0	0	2	0	0	0	14	0	0	3	224	310	260	3	2	0	2	0	0	1204.0
hsa-miR-744-5p	43	23	0	22	2	3	2	18	3	0	0	175	0	5	0	10	2	0	7	149	6	0	18	170	248	222	5	7	0	31	2	0	1173.0
hsa-miR-3662	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1073	0	0	0	0	0	0	0	0	1077.0
hsa-let-7d-3p	41	2	0	81	0	5	0	10	3	3	0	171	0	2	0	2	0	0	0	5	0	2	0	398	185	147	0	2	0	2	0	0	1061.0
hsa-miR-3158-3p	0	0	0	2	0	6	0	0	0	0	0	239	0	0	0	0	0	0	0	2	2	0	0	225	311	231	0	0	0	0	0	0	1018.0
hsa-miR-3182	36	75	3	6	4	0	6	2	3	0	0	5	0	0	0	7	2	0	0	135	6	0	11	682	3	5	2	15	0	2	0	0	1010.0
hsa-miR-378c	29	10	3	7	0	5	7	10	11	0	2	187	0	1	0	0	0	0	0	60	0	0	3	226	182	116	89	32	21	8	0	0	1007.95
hsa-miR-204-5p	404	29	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	14	0	0	967.0
hsa-miR-891a-5p	0	0	0	4	217	0	0	0	0	0	0	0	0	0	0	0	97	0	375	137	0	0	0	5	0	0	0	0	0	119	0	0	954.0
hsa-miR-140-5p	6	0	0	4	2	12	0	42	2	0	0	254	0	5	0	0	0	0	2	22	0	0	2	178	197	221	0	2	0	2	0	0	953.0
hsa-miR-502-3p	8	1	0	2	3	3	0	1	4	0	0	217	0	0	0	0	2	1	9	13	0	0	0	284	176	203	0	4	0	5	0	0	934.0
hsa-miR-199a-5p	0	0	0	0	0	82	0	0	0	0	2	177	0	0	0	0	0	0	2	0	0	0	9	209	259	181	0	0	0	0	0	0	921.0
hsa-miR-197-3p	7	2	0	2	0	7	21	55	4	8	0	91	0	2	0	0	0	0	0	33	2	0	3	472	87	76	8	24	4	7	2	0	917.0
hsa-miR-135a-5p	14	0	0	14	40	0	0	0	0	0	0	0	0	0	0	0	38	0	68	601	0	0	0	8	3	7	0	0	0	121	0	0	914.0
hsa-miR-181b-5p	113	11	0	43	2	5	0	4	3	0	2	200	0	0	0	2	0	0	0	4	0	0	5	206	115	195	0	0	0	0	2	0	911.5
hsa-miR-1246	11	294	0	69	0	0	0	330	0	22	0	0	47	35	2	10	2	0	0	6	2	2	33	37	0	0	0	4	0	0	4	0	910.0
hsa-let-7e-5p	84	3	0	163	19	15	0	0	0	0	0	46	0	0	0	9	14	0	7	80	0	0	7	215	83	62	0	0	0	95	0	0	902.4
hsa-miR-181a-2-3p	5	5	0	10	2	2	0	3	0	0	0	172	0	0	0	11	0	0	0	0	5	0	11	304	163	194	0	2	0	0	9	0	898.0
hsa-miR-34c-5p	0	0	0	0	141	27	3	2	10	0	0	0	0	0	0	0	186	0	177	3	0	0	0	326	0	0	0	0	0	0	0	0	875.0
hsa-miR-199b-3p	2	0	0	0	0	107	0	13	3	1	9	108	0	3	0	0	0	0	0	3	0	0	3	381	142	99	0	0	0	0	0	0	873.01
hsa-miR-155-5p	4	0	0	32	14	9	0	4	2	0	0	73	0	0	0	0	17	0	33	88	0	0	0	315	77	99	0	0	0	94	0	0	861.0
hsa-miR-425-3p	0	3	0	0	0	4	0	17	2	0	0	176	0	0	0	0	2	0	0	20	0	0	0	203	223	206	0	0	0	4	0	0	860.0
hsa-miR-199b-5p	0	0	0	0	0	77	0	90	13	4	9	38	0	8	0	0	0	0	0	0	0	0	2	488	71	48	0	5	0	0	0	0	853.0
hsa-miR-223-5p	58	10	0	2	0	39	0	181	16	6	0	77	0	15	0	0	0	0	0	0	0	0	0	255	86	68	0	0	0	2	0	0	815.0
hsa-miR-503-5p	2	0	0	0	0	0	0	2	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	239	156	111	0	0	0	0	0	0	777.0
hsa-miR-148a-5p	2	3	0	0	14	3	0	16	2	0	0	25	0	0	0	0	27	0	22	378	0	0	0	83	10	14	6	10	3	152	0	0	770.0
hsa-miR-29c-3p	5	0	0	0	2	0	0	5	2	0	0	111	0	0	0	1	4	0	6	171	0	0	1	105	163	158	0	0	0	23	0	0	756.67
hsa-miR-576-5p	0	0	0	0	0	0	0	4	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	182	185	154	0	0	0	0	0	0	702.0
hsa-miR-769-5p	5	14	4	6	6	4	4	27	6	0	0	39	0	2	0	4	11	0	10	261	0	0	2	149	20	41	7	7	0	44	0	0	673.0
hsa-miR-196b-5p	22	2	0	36	2	6	0	0	0	0	0	68	0	0	0	0	4	0	8	169	0	0	0	126	80	113	0	2	0	19	0	0	657.0
hsa-miR-3613-5p	3	0	0	2	0	2	5	9	2	0	0	150	0	0	0	0	0	0	0	2	0	0	0	179	132	154	0	0	0	0	0	0	640.0
hsa-miR-148b-5p	0	0	0	0	0	6	0	0	0	0	0	180	0	0	0	0	0	0	2	15	0	0	0	126	152	148	0	2	0	2	0	0	633.0
